Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,
12/09/20,18:00:00,FTC-Rail Cargo Hungaria,Rostov-Don,27,26,H,12,16,A,+
12/09/20,18:00:00,RK Krim Mercator,Vipers Kristiansand,26,29,A,9,14,A,+
13/09/20,14:00:00,SG BBM Bietigheim,Team Esbjerg,30,31,A,11,19,A,+
13/09/20,17:00:00,CSM Bucuresti,Metz Handball,26,29,A,17,10,H,+
12/09/20,16:00:00,Odense Håndbold,BV Borussia 09 Dortmund,32,27,H,13,13,D,+
12/09/20,17:00:00,CSKA,Győri Audi ETO KC,25,27,A,14,14,D,+
12/09/20,18:00:00,Brest Bretagne Handball,SCM Ramnicu Valcea,32,29,H,12,12,D,+
13/09/20,16:00:00,HC Podravka Vegeta,Buducnost BEMAX,33,28,H,12,17,A,+
19/09/20,17:00:00,Rostov-Don,RK Krim Mercator,26,22,H,12,14,A,+
20/09/20,14:00:00,Metz Handball,SG BBM Bietigheim,34,30,H,18,8,H,+
20/09/20,14:00:00,Team Esbjerg,CSM Bucuresti,31,30,H,15,17,A,+
26/09/20,18:00:00,FTC-Rail Cargo Hungaria,Vipers Kristiansand,24,29,A,14,15,A,+
19/09/20,16:00:00,Győri Audi ETO KC,HC Podravka Vegeta,40,31,H,17,16,H,+
19/09/20,17:00:00,SCM Ramnicu Valcea,Odense Håndbold,25,25,D,10,13,A,+
19/09/20,18:00:00,Buducnost BEMAX,CSKA,24,27,A,13,13,D,+
20/09/20,16:00:00,BV Borussia 09 Dortmund,Brest Bretagne Handball,33,39,A,13,23,A,+
10/10/20,16:00:00,Metz Handball,RK Krim Mercator,34,31,H,19,11,H,+
10/10/20,18:00:00,Vipers Kristiansand,CSM Bucuresti,30,25,H,14,12,H,+
11/10/20,14:00:00,Team Esbjerg,FTC-Rail Cargo Hungaria,22,26,A,13,9,H,+
11/10/20,14:00:00,SG BBM Bietigheim,Rostov-Don,30,35,A,16,17,A,+
26/09/20,16:00:00,HC Podravka Vegeta,BV Borussia 09 Dortmund,27,23,H,14,15,A,+
26/09/20,17:00:00,CSKA,SCM Ramnicu Valcea,31,22,H,14,11,H,+
27/09/20,16:00:00,Brest Bretagne Handball,Győri Audi ETO KC,25,28,A,12,12,D,+
27/09/20,16:00:00,Odense Håndbold,Buducnost BEMAX,31,23,H,12,8,H,+
17/10/20,16:00:00,RK Krim Mercator,SG BBM Bietigheim,27,26,H,12,16,A,+
17/10/20,17:00:00,Rostov-Don,Metz Handball,32,27,H,16,12,H,+
18/10/20,14:00:00,Team Esbjerg,Vipers Kristiansand,30,29,H,12,12,D,+
18/10/20,17:00:00,CSM Bucuresti,FTC-Rail Cargo Hungaria,21,22,A,12,10,H,+
10/10/20,18:00:00,Buducnost BEMAX,Brest Bretagne Handball,24,22,H,12,12,D,+
10/10/20,18:00:00,Győri Audi ETO KC,Odense Håndbold,34,26,H,16,11,H,+
11/10/20,16:00:00,BV Borussia 09 Dortmund,CSKA,28,31,A,15,11,H,+
17/10/20,18:00:00,HC Podravka Vegeta,SCM Ramnicu Valcea,36,30,H,15,17,A,+
24/10/20,16:00:00,FTC-Rail Cargo Hungaria,RK Krim Mercator,30,30,D,14,14,D,+
24/10/20,18:00:00,Metz Handball,Team Esbjerg,32,28,H,18,14,H,+
25/10/20,16:00:00,SG BBM Bietigheim,CSM Bucuresti,25,31,A,10,14,A,+
07/11/20,16:00:00,Vipers Kristiansand,Rostov-Don,27,30,A,11,14,A,+
