,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
0,2020-10-17,RK Krim Mercator,SG BBM Bietigheim,28,26,H,76,84,76,84,0.0625,0.0,L,D,L,M,M,L,L,L,M,M,4.0,LDLMM,LLLMM,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0625,0.0625
1,2020-10-17,Rostov-Don,Metz Handball,30,26,H,81,95,81,95,0.3125,0.25,W,D,W,M,M,W,W,L,M,M,4.0,WDWMM,WWLMM,5,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0625,0.0625
2,2020-10-18,Team Esbjerg,Vipers Kristiansand,27,27,NH,83,90,83,90,0.125,0.375,L,L,W,M,M,W,W,W,M,M,4.0,LLWMM,WWWMM,2,6,0,0,0,0,0,0,0,0,0.0,0.0,-0.25,-0.25
3,2020-10-18,CSM Bucuresti,FTC-Rail Cargo Hungaria,25,19,H,86,78,86,78,0.25,0.125,L,W,W,M,M,W,L,L,M,M,4.0,LWWMM,WLLMM,4,2,0,0,0,0,0,0,0,0,0.0,0.0,0.125,0.125
4,2020-10-10,Buducnost BEMAX,Brest Bretagne Handball,22,22,NH,69,94,69,94,0.0,0.3125,L,L,L,M,M,D,W,W,M,M,4.0,LLLMM,DWWMM,0,5,0,0,0,0,0,0,0,0,0.0,0.0,-0.3125,-0.3125
5,2020-10-10,Győri Audi ETO KC,Odense Håndbold,32,25,H,95,92,95,92,0.25,0.375,D,W,D,M,M,W,W,W,M,M,4.0,DWDMM,WWWMM,4,6,0,0,0,0,0,0,0,0,0.0,0.0,-0.125,-0.125
6,2020-10-11,BV Borussia 09 Dortmund,CSKA,28,29,NH,82,82,82,82,0.125,0.3125,W,L,L,M,M,W,W,D,M,M,4.0,WLLMM,WWDMM,2,5,0,0,0,0,0,0,0,0,0.0,0.0,-0.1875,-0.1875
7,2020-10-17,HC Podravka Vegeta,SCM Ramnicu Valcea,38,31,H,82,62,82,62,0.125,0.0,L,L,W,M,M,L,L,L,M,M,4.0,LLWMM,LLLMM,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.125,0.125
8,2020-10-24,FTC-Rail Cargo Hungaria,RK Krim Mercator,32,25,H,97,104,97,104,0.08,0.12,L,W,L,L,M,W,L,D,L,M,5.0,LWLLM,WLDLM,2,3,0,0,0,0,0,0,0,0,0.0,0.0,-0.04,-0.04
9,2020-10-24,Metz Handball,Team Esbjerg,31,29,H,121,110,121,110,0.16,0.12,L,W,W,L,M,D,L,L,W,M,5.0,LWWLM,DLLWM,4,3,0,0,0,0,0,0,0,0,0.0,0.0,0.04,0.04
10,2020-10-25,SG BBM Bietigheim,CSM Bucuresti,22,32,NH,110,111,110,111,0.0,0.24,L,L,L,L,M,W,L,W,W,M,5.0,LLLLM,WLWWM,0,6,0,0,0,0,0,0,0,0,0.0,0.0,-0.24,-0.24
11,2020-11-07,Vipers Kristiansand,Rostov-Don,24,35,NH,117,111,117,111,0.27999999999999997,0.27999999999999997,D,W,W,W,M,W,W,D,W,M,5.0,DWWWM,WWDWM,7,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
12,2020-10-18,BV Borussia 09 Dortmund,Buducnost BEMAX,26,28,NH,110,91,110,91,0.08,0.04,L,W,L,L,M,D,L,L,L,M,5.0,LWLLM,DLLLM,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.04,0.04
13,2020-10-18,Brest Bretagne Handball,CSKA,28,30,NH,116,111,116,111,0.24,0.27999999999999997,D,D,W,W,M,W,W,W,D,M,5.0,DDWWM,WWWDM,6,7,0,0,0,0,0,0,0,0,0.0,0.0,-0.04,-0.04
14,2020-10-18,HC Podravka Vegeta,Odense Håndbold,17,33,NH,120,117,120,117,0.16,0.24,W,L,L,W,M,L,W,W,W,M,5.0,WLLWM,LWWWM,4,6,0,0,0,0,0,0,0,0,0.0,0.0,-0.08,-0.08
